# AtmosphericNeutrons spectrum 
# Format: DP <energy in keV> <shape of differential spectrum [XX/keV]>
# Although cosima doesn't use it the spectrum here is given as a flux in #/cm^2/s/keV
# Integrated over 4.262737707973614 sr
# Integral Flux: 0.0407235367457625 #/cm^2/s

IP LOGLOG

DP 10.0 1.162950305180688e-05
DP 11.768119524349984 1.081674298259256e-05
DP 13.848863713938732 1.006078490458685e-05
DP 16.297508346206442 9.357659053123067e-06
DP 19.179102616724887 8.703673101546344e-06
DP 22.570197196339205 8.095392771688867e-06
DP 26.560877829466868 7.529623799435776e-06
DP 31.25715849688235 7.0033951606775314e-06
DP 36.783797718286344 6.513943469563081e-06
DP 43.28761281083057 6.05869846712442e-06
DP 50.9413801481638 5.635269524068795e-06
DP 59.94842503189409 5.241433086860769e-06
DP 70.54802310718642 4.8751210011696e-06
DP 83.02175681319744 4.5344096513649184e-06
DP 97.70099572992251 4.2175098590288365e-06
DP 114.97569953977356 3.922757487438567e-06
DP 135.30477745798075 3.6486047026808197e-06
DP 159.22827933410923 3.393611845507459e-06
DP 187.3817422860383 3.1564398712490555e-06
DP 220.51307399030455 2.935843318086051e-06
DP 259.5024211399737 2.7306637667518015e-06
DP 305.3855508833416 2.5398237573223874e-06
DP 359.38136638046257 2.362321131148452e-06
DP 422.9242874389499 2.197223768216821e-06
DP 497.70235643321087 2.0436646923061967e-06
DP 585.7020818056661 1.9008375182326173e-06
DP 689.2612104349695 1.7679922172767967e-06
DP 811.1308307896873 1.6444311785563146e-06
DP 954.5484566618337 1.4670934663031153e-06
DP 1123.3240329780276 1.2159970754807337e-06
DP 1321.9411484660286 1.0078764042918834e-06
DP 1555.6761439304723 8.353760603632547e-07
DP 1830.7382802953678 6.923995434919749e-07
DP 2154.4346900318824 5.738937833811344e-07
DP 2535.3644939701117 4.7567055423301164e-07
DP 2983.6472402833374 3.942584546417283e-07
DP 3511.191734215131 3.267802214646651e-07
DP 4132.0124001153345 2.708510417044423e-07
DP 4862.601580065353 2.2449426854407683e-07
DP 5722.367659350214 1.8607156277484443e-07
DP 6734.150657750822 1.5422499067799178e-07
DP 7924.82898353917 1.2782903198597894e-07
DP 9326.0334688322 1.0595080179054405e-07
DP 10974.987654930545 8.781708056187478e-08
DP 12915.496650148827 7.27869870551471e-08
DP 15199.11082952933 6.08510631866261e-08
DP 17886.495290574352 5.6093770750319776e-08
DP 21049.04144512022 5.170840002152951e-08
DP 24770.76355991709 4.766587442815606e-08
DP 29150.53062825176 4.393939058363334e-08
DP 34304.692863149125 4.050424057091562e-08
DP 40370.1725859655 3.7337648120174375e-08
DP 47508.101621027934 3.4418617594005835e-08
DP 55908.10182512223 3.1727794778866097e-08
DP 65793.32246575682 2.9247338559732162e-08
DP 77426.36826811278 2.3013421103593692e-08
DP 91116.27561154887 1.6429242802955826e-08
DP 107226.72220103232 1.1728808935596497e-08
DP 126185.6883066021 8.37317706589488e-09
DP 148496.82622544636 5.97759709121416e-09
DP 174752.8400007683 4.2673965573273165e-09
DP 205651.23083486516 3.046487258944731e-09
DP 242012.82647943834 2.1748821545484293e-09
DP 284803.5868435799 1.552644729527507e-09
DP 335160.2650938841 1.1084304733881406e-09
DP 394420.6059437656 7.913066595146622e-10
DP 464158.8833612772 5.649124996340576e-10
DP 546227.7217684337 4.032900878636981e-10
DP 642807.311728432 2.8790811864574997e-10
DP 756463.3275546291 2.0553712396261595e-10
DP 890215.0854450375 1.4673260874176318e-10
DP 1047615.7527896641 1.0475216376034975e-10
DP 1232846.7394420658 7.47823943605249e-11
DP 1450828.7784959401 5.3387026153343025e-11
DP 1707352.6474706887 3.8112908604625475e-11
DP 2009233.0025650458 2.7208741654428503e-11
DP 2364489.412645407 1.9424275121515822e-11
DP 2782559.402207126 1.3866957494336326e-11
DP 3274549.162877725 9.8995977428642e-12
DP 3853528.5937105273 7.0673062573782664e-12
DP 4534878.5081285825 5.045338106952931e-12
DP 5336699.231206302 3.6018584290012952e-12
DP 6280291.441834247 2.5713607031982907e-12
DP 7390722.033525775 1.835690101730545e-12
DP 8697490.026177835 1.3104960908052113e-12
DP 10235310.218990248 9.355609655446291e-13
DP 12045035.402587812 6.678954072369634e-13
DP 14174741.629268048 4.768094132150384e-13
DP 16681005.372000592 3.403934419477275e-13
DP 19630406.500402685 2.430063084110417e-13
DP 23101297.00083158 1.734817967986304e-13
DP 27185882.427329402 1.2384836433782807e-13
DP 31992671.377973843 8.841513998704726e-14
DP 37649358.06792463 6.311942043582979e-14
DP 44306214.575838774 4.506084859152733e-14
DP 52140082.87999684 3.216886438069934e-14
DP 61359072.734131634 2.296529843289298e-14
DP 72208090.18385457 1.6394888108896597e-14
DP 84975343.59086438 1.1704283177015036e-14
DP 100000000.0 8.355668167898022e-15
EN
