EkeV          Fluxpos
  1.2517E+07  8.6008E-06
  1.2662E+07  8.3122E-06
  1.2809E+07  8.0329E-06
  1.2957E+07  7.7627E-06
  1.3107E+07  7.5013E-06
  1.3259E+07  7.2484E-06
  1.3412E+07  7.0038E-06
  1.3568E+07  6.7671E-06
  1.3725E+07  6.5382E-06
  1.3884E+07  6.3168E-06
  1.4044E+07  6.1026E-06
  1.4207E+07  5.8955E-06
  1.4371E+07  5.6952E-06
  1.4538E+07  5.5015E-06
  1.4706E+07  5.3142E-06
  1.4876E+07  5.1331E-06
  1.5049E+07  4.9580E-06
  1.5223E+07  4.7887E-06
  1.5399E+07  4.6250E-06
  1.5578E+07  4.4667E-06
  1.5758E+07  4.3137E-06
  1.5940E+07  4.1658E-06
  1.6125E+07  4.0229E-06
  1.6312E+07  3.8847E-06
  1.6501E+07  3.7511E-06
  1.6692E+07  3.6220E-06
  1.6885E+07  3.4973E-06
  1.7080E+07  3.3767E-06
  1.7278E+07  3.2602E-06
  1.7478E+07  3.1476E-06
  1.7681E+07  3.0388E-06
  1.7885E+07  2.9337E-06
  1.8093E+07  2.8321E-06
  1.8302E+07  2.7340E-06
  1.8514E+07  2.6391E-06
  1.8728E+07  2.5475E-06
  1.8945E+07  2.4590E-06
  1.9165E+07  2.3735E-06
  1.9387E+07  2.2909E-06
  1.9611E+07  2.2112E-06
  1.9838E+07  2.1341E-06
  2.0068E+07  2.0597E-06
  2.0300E+07  1.9878E-06
  2.0535E+07  1.9184E-06
  2.0773E+07  1.8513E-06
  2.1014E+07  1.7865E-06
  2.1257E+07  1.7240E-06
  2.1503E+07  1.6636E-06
  2.1752E+07  1.6053E-06
  2.2004E+07  1.5490E-06
  2.2259E+07  1.4946E-06
  2.2516E+07  1.4421E-06
  2.2777E+07  1.3914E-06
  2.3041E+07  1.3425E-06
  2.3308E+07  1.2952E-06
  2.3578E+07  1.2496E-06
  2.3851E+07  1.2056E-06
  2.4127E+07  1.1630E-06
  2.4406E+07  1.1220E-06
  2.4689E+07  1.0824E-06
  2.4975E+07  1.0441E-06
  2.5264E+07  1.0072E-06
  2.5556E+07  9.7159E-07
  2.5852E+07  9.3720E-07
  2.6152E+07  9.0400E-07
  2.6455E+07  8.7197E-07
  2.6761E+07  8.4105E-07
  2.7071E+07  8.1121E-07
  2.7384E+07  7.8241E-07
  2.7701E+07  7.5462E-07
  2.8022E+07  7.2780E-07
  2.8347E+07  7.0192E-07
  2.8675E+07  6.7695E-07
  2.9007E+07  6.5285E-07
  2.9343E+07  6.2960E-07
  2.9682E+07  6.0717E-07
  3.0026E+07  5.8552E-07
  3.0374E+07  5.6464E-07
  3.0726E+07  5.4448E-07
  3.1081E+07  5.2504E-07
  3.1441E+07  5.0629E-07
  3.1805E+07  4.8819E-07
  3.2174E+07  4.7074E-07
  3.2546E+07  4.5390E-07
  3.2923E+07  4.3765E-07
  3.3304E+07  4.2198E-07
  3.3690E+07  4.0686E-07
  3.4080E+07  3.9228E-07
  3.4475E+07  3.7821E-07
  3.4874E+07  3.6465E-07
  3.5278E+07  3.5156E-07
  3.5686E+07  3.3894E-07
  3.6099E+07  3.2676E-07
  3.6517E+07  3.1502E-07
  3.6940E+07  3.0369E-07
  3.7368E+07  2.9277E-07
  3.7801E+07  2.8224E-07
  3.8238E+07  2.7208E-07
  3.8681E+07  2.6228E-07
  3.9129E+07  2.5283E-07
  3.9582E+07  2.4372E-07
  4.0041E+07  2.3494E-07
  4.0504E+07  2.2646E-07
  4.0973E+07  2.1829E-07
  4.1448E+07  2.1041E-07
  4.1928E+07  2.0282E-07
  4.2413E+07  1.9549E-07
  4.2904E+07  1.8843E-07
  4.3401E+07  1.8162E-07
  4.3904E+07  1.7505E-07
  4.4412E+07  1.6872E-07
  4.4926E+07  1.6262E-07
  4.5446E+07  1.5673E-07
  4.5973E+07  1.5106E-07
  4.6505E+07  1.4558E-07
  4.7044E+07  1.4031E-07
  4.7588E+07  1.3522E-07
  4.8139E+07  1.3032E-07
  4.8697E+07  1.2560E-07
  4.9261E+07  1.2104E-07
  4.9831E+07  1.1665E-07
  5.0408E+07  1.1241E-07
  5.0992E+07  1.0833E-07
  5.1582E+07  1.0440E-07
  5.2180E+07  1.0060E-07
  5.2784E+07  9.6947E-08
  5.3395E+07  9.3423E-08
  5.4013E+07  9.0026E-08
  5.4639E+07  8.6751E-08
  5.5271E+07  8.3595E-08
  5.5911E+07  8.0552E-08
  5.6559E+07  7.7620E-08
  5.7214E+07  7.4793E-08
  5.7876E+07  7.2069E-08
  5.8546E+07  6.9443E-08
  5.9224E+07  6.6913E-08
  5.9910E+07  6.4473E-08
  6.0604E+07  6.2123E-08
  6.1306E+07  5.9857E-08
  6.2015E+07  5.7673E-08
  6.2734E+07  5.5569E-08
  6.3460E+07  5.3541E-08
  6.4195E+07  5.1586E-08
  6.4938E+07  4.9702E-08
  6.5690E+07  4.7887E-08
  6.6451E+07  4.6137E-08
  6.7220E+07  4.4451E-08
  6.7999E+07  4.2827E-08
  6.8786E+07  4.1261E-08
  6.9582E+07  3.9752E-08
  7.0388E+07  3.8298E-08
  7.1203E+07  3.6897E-08
  7.2028E+07  3.5547E-08
  7.2862E+07  3.4246E-08
  7.3706E+07  3.2993E-08
  7.4559E+07  3.1785E-08
  7.5422E+07  3.0621E-08
  7.6296E+07  2.9499E-08
  7.7179E+07  2.8418E-08
  7.8073E+07  2.7377E-08
  7.8977E+07  2.6374E-08
  7.9891E+07  2.5407E-08
  8.0816E+07  2.4475E-08
  8.1752E+07  2.3578E-08
  8.2699E+07  2.2713E-08
  8.3657E+07  2.1880E-08
  8.4625E+07  2.1077E-08
  8.5605E+07  2.0303E-08
  8.6596E+07  1.9558E-08
  8.7599E+07  1.8840E-08
  8.8614E+07  1.8148E-08
  8.9640E+07  1.7482E-08
  9.0678E+07  1.6840E-08
  9.1728E+07  1.6221E-08
  9.2790E+07  1.5625E-08
  9.3864E+07  1.5051E-08
  9.4951E+07  1.4498E-08
  9.6051E+07  1.3965E-08
  9.7163E+07  1.3451E-08
  9.8288E+07  1.2957E-08
  9.9426E+07  1.2480E-08
