EkeV          Fluxpos
  8.6596E+03  9.5587E-06
  8.7599E+03  9.7635E-06
  8.8614E+03  9.9727E-06
  8.9640E+03  1.0186E-05
  9.0678E+03  1.0405E-05
  9.1728E+03  1.0628E-05
  9.2790E+03  1.0856E-05
  9.3864E+03  1.1089E-05
  9.4951E+03  1.1327E-05
  9.6051E+03  1.1570E-05
  9.7163E+03  1.1818E-05
  9.8288E+03  1.2072E-05
  9.9426E+03  1.2331E-05
  1.0058E+04  1.2596E-05
  1.0174E+04  1.2867E-05
  1.0292E+04  1.3143E-05
  1.0411E+04  1.3425E-05
  1.0532E+04  1.3714E-05
  1.0654E+04  1.4009E-05
  1.0777E+04  1.4310E-05
  1.0902E+04  1.4617E-05
  1.1028E+04  1.4931E-05
  1.1156E+04  1.5252E-05
  1.1285E+04  1.5580E-05
  1.1416E+04  1.5915E-05
  1.1548E+04  1.6258E-05
  1.1682E+04  1.6607E-05
  1.1817E+04  1.6964E-05
  1.1954E+04  1.7329E-05
  1.2092E+04  1.7701E-05
  1.2232E+04  1.8082E-05
  1.2374E+04  1.8471E-05
  1.2517E+04  1.8868E-05
  1.2662E+04  1.9274E-05
  1.2809E+04  1.9688E-05
  1.2957E+04  2.0111E-05
  1.3107E+04  2.0543E-05
  1.3259E+04  2.0985E-05
  1.3412E+04  2.1436E-05
  1.3568E+04  2.1897E-05
  1.3725E+04  2.2367E-05
  1.3884E+04  2.2848E-05
  1.4044E+04  2.3339E-05
  1.4207E+04  2.3840E-05
  1.4371E+04  2.4352E-05
  1.4538E+04  2.4875E-05
  1.4706E+04  2.5409E-05
  1.4876E+04  2.5954E-05
  1.5049E+04  2.6511E-05
  1.5223E+04  2.7080E-05
  1.5399E+04  2.7661E-05
  1.5578E+04  2.8254E-05
  1.5758E+04  2.8860E-05
  1.5940E+04  2.9479E-05
  1.6125E+04  3.0111E-05
  1.6312E+04  3.0756E-05
  1.6501E+04  3.1415E-05
  1.6692E+04  3.2088E-05
  1.6885E+04  3.2775E-05
  1.7080E+04  3.3476E-05
  1.7278E+04  3.4193E-05
  1.7478E+04  3.4924E-05
  1.7681E+04  3.5671E-05
  1.7885E+04  3.6433E-05
  1.8093E+04  3.7212E-05
  1.8302E+04  3.8007E-05
  1.8514E+04  3.8818E-05
  1.8728E+04  3.9647E-05
  1.8945E+04  4.0493E-05
  1.9165E+04  4.1356E-05
  1.9387E+04  4.2238E-05
  1.9611E+04  4.3138E-05
  1.9838E+04  4.4057E-05
  2.0068E+04  4.4995E-05
  2.0300E+04  4.5952E-05
  2.0535E+04  4.6929E-05
  2.0773E+04  4.7927E-05
  2.1014E+04  4.8946E-05
  2.1257E+04  4.9985E-05
  2.1503E+04  5.1046E-05
  2.1752E+04  5.2129E-05
  2.2004E+04  5.3234E-05
  2.2259E+04  5.4362E-05
  2.2516E+04  5.5514E-05
  2.2777E+04  5.6689E-05
  2.3041E+04  5.7888E-05
  2.3308E+04  5.9112E-05
  2.3578E+04  6.0361E-05
  2.3851E+04  6.1635E-05
  2.4127E+04  6.2936E-05
  2.4406E+04  6.4263E-05
  2.4689E+04  6.5617E-05
  2.4975E+04  6.6999E-05
  2.5264E+04  6.8409E-05
  2.5556E+04  6.9847E-05
  2.5852E+04  7.1315E-05
  2.6152E+04  7.2813E-05
  2.6455E+04  7.4340E-05
  2.6761E+04  7.5899E-05
  2.7071E+04  7.7489E-05
  2.7384E+04  7.9111E-05
  2.7701E+04  8.0766E-05
  2.8022E+04  8.2454E-05
  2.8347E+04  8.4175E-05
  2.8675E+04  8.5931E-05
  2.9007E+04  8.7723E-05
  2.9343E+04  8.9550E-05
  2.9682E+04  9.1413E-05
  3.0026E+04  9.3313E-05
  3.0374E+04  9.5251E-05
  3.0726E+04  9.7228E-05
  3.1081E+04  9.9243E-05
  3.1441E+04  1.0130E-04
  3.1805E+04  1.0339E-04
  3.2174E+04  1.0553E-04
  3.2546E+04  1.0771E-04
  3.2923E+04  1.0993E-04
  3.3304E+04  1.1220E-04
  3.3690E+04  1.1451E-04
  3.4080E+04  1.1686E-04
  3.4475E+04  1.1926E-04
  3.4874E+04  1.2171E-04
  3.5278E+04  1.2420E-04
  3.5686E+04  1.2674E-04
  3.6099E+04  1.2933E-04
  3.6517E+04  1.3197E-04
  3.6940E+04  1.3467E-04
  3.7368E+04  1.3741E-04
  3.7801E+04  1.4020E-04
  3.8238E+04  1.4305E-04
  3.8681E+04  1.4596E-04
  3.9129E+04  1.4891E-04
  3.9582E+04  1.5193E-04
  4.0041E+04  1.5500E-04
  4.0504E+04  1.5813E-04
  4.0973E+04  1.6131E-04
  4.1448E+04  1.6456E-04
  4.1928E+04  1.6787E-04
  4.2413E+04  1.7124E-04
  4.2904E+04  1.7467E-04
  4.3401E+04  1.7816E-04
  4.3904E+04  1.8172E-04
  4.4412E+04  1.8535E-04
  4.4926E+04  1.8904E-04
  4.5446E+04  1.9280E-04
