EkeV          Fluxele
  8.6596E+03  1.2183E-04
  8.7599E+03  1.2444E-04
  8.8614E+03  1.2710E-04
  8.9640E+03  1.2983E-04
  9.0678E+03  1.3261E-04
  9.1728E+03  1.3546E-04
  9.2790E+03  1.3836E-04
  9.3864E+03  1.4133E-04
  9.4951E+03  1.4436E-04
  9.6051E+03  1.4746E-04
  9.7163E+03  1.5063E-04
  9.8288E+03  1.5386E-04
  9.9426E+03  1.5716E-04
  1.0058E+04  1.6054E-04
  1.0174E+04  1.6399E-04
  1.0292E+04  1.6751E-04
  1.0411E+04  1.7111E-04
  1.0532E+04  1.7479E-04
  1.0654E+04  1.7854E-04
  1.0777E+04  1.8238E-04
  1.0902E+04  1.8630E-04
  1.1028E+04  1.9030E-04
  1.1156E+04  1.9439E-04
  1.1285E+04  1.9857E-04
  1.1416E+04  2.0284E-04
  1.1548E+04  2.0720E-04
  1.1682E+04  2.1166E-04
  1.1817E+04  2.1621E-04
  1.1954E+04  2.2086E-04
  1.2092E+04  2.2561E-04
  1.2232E+04  2.3046E-04
  1.2374E+04  2.3541E-04
  1.2517E+04  2.4047E-04
  1.2662E+04  2.4564E-04
  1.2809E+04  2.5092E-04
  1.2957E+04  2.5632E-04
  1.3107E+04  2.6183E-04
  1.3259E+04  2.6746E-04
  1.3412E+04  2.7320E-04
  1.3568E+04  2.7908E-04
  1.3725E+04  2.8507E-04
  1.3884E+04  2.9120E-04
  1.4044E+04  2.9745E-04
  1.4207E+04  3.0384E-04
  1.4371E+04  3.1037E-04
  1.4538E+04  3.1703E-04
  1.4706E+04  3.2384E-04
  1.4876E+04  3.3079E-04
  1.5049E+04  3.3789E-04
  1.5223E+04  3.4514E-04
  1.5399E+04  3.5254E-04
  1.5578E+04  3.6011E-04
  1.5758E+04  3.6783E-04
  1.5940E+04  3.7571E-04
  1.6125E+04  3.8377E-04
  1.6312E+04  3.9199E-04
  1.6501E+04  4.0039E-04
  1.6692E+04  4.0896E-04
  1.6885E+04  4.1772E-04
  1.7080E+04  4.2666E-04
  1.7278E+04  4.3579E-04
  1.7478E+04  4.4511E-04
  1.7681E+04  4.5463E-04
  1.7885E+04  4.6435E-04
  1.8093E+04  4.7427E-04
  1.8302E+04  4.8440E-04
  1.8514E+04  4.9474E-04
  1.8728E+04  5.0530E-04
  1.8945E+04  5.1608E-04
  1.9165E+04  5.2709E-04
  1.9387E+04  5.3832E-04
  1.9611E+04  5.4980E-04
  1.9838E+04  5.6151E-04
  2.0068E+04  5.7346E-04
  2.0300E+04  5.8566E-04
  2.0535E+04  5.9812E-04
  2.0773E+04  6.1084E-04
  2.1014E+04  6.2382E-04
  2.1257E+04  6.3706E-04
  2.1503E+04  6.5059E-04
  2.1752E+04  6.6439E-04
  2.2004E+04  6.7848E-04
  2.2259E+04  6.9285E-04
  2.2516E+04  7.0753E-04
  2.2777E+04  7.2250E-04
  2.3041E+04  7.3779E-04
  2.3308E+04  7.5339E-04
  2.3578E+04  7.6930E-04
  2.3851E+04  7.8555E-04
  2.4127E+04  8.0212E-04
  2.4406E+04  8.1904E-04
  2.4689E+04  8.3630E-04
  2.4975E+04  8.5391E-04
  2.5264E+04  8.7188E-04
  2.5556E+04  8.9021E-04
  2.5852E+04  9.0892E-04
  2.6152E+04  9.2800E-04
  2.6455E+04  9.4748E-04
  2.6761E+04  9.6734E-04
  2.7071E+04  9.8761E-04
  2.7384E+04  1.0083E-03
  2.7701E+04  1.0294E-03
  2.8022E+04  1.0509E-03
  2.8347E+04  1.0728E-03
  2.8675E+04  1.0952E-03
  2.9007E+04  1.1180E-03
  2.9343E+04  1.1413E-03
  2.9682E+04  1.1651E-03
  3.0026E+04  1.1893E-03
  3.0374E+04  1.2140E-03
  3.0726E+04  1.2392E-03
  3.1081E+04  1.2649E-03
  3.1441E+04  1.2911E-03
  3.1805E+04  1.3178E-03
  3.2174E+04  1.3450E-03
  3.2546E+04  1.3728E-03
