EkeV          Fluxele
  1.2517E+07  1.0962E-04
  1.2662E+07  1.0594E-04
  1.2809E+07  1.0238E-04
  1.2957E+07  9.8937E-05
  1.3107E+07  9.5605E-05
  1.3259E+07  9.2382E-05
  1.3412E+07  8.9264E-05
  1.3568E+07  8.6248E-05
  1.3725E+07  8.3330E-05
  1.3884E+07  8.0508E-05
  1.4044E+07  7.7779E-05
  1.4207E+07  7.5139E-05
  1.4371E+07  7.2586E-05
  1.4538E+07  7.0117E-05
  1.4706E+07  6.7730E-05
  1.4876E+07  6.5422E-05
  1.5049E+07  6.3190E-05
  1.5223E+07  6.1032E-05
  1.5399E+07  5.8946E-05
  1.5578E+07  5.6929E-05
  1.5758E+07  5.4979E-05
  1.5940E+07  5.3094E-05
  1.6125E+07  5.1272E-05
  1.6312E+07  4.9511E-05
  1.6501E+07  4.7808E-05
  1.6692E+07  4.6163E-05
  1.6885E+07  4.4573E-05
  1.7080E+07  4.3037E-05
  1.7278E+07  4.1552E-05
  1.7478E+07  4.0116E-05
  1.7681E+07  3.8730E-05
  1.7885E+07  3.7390E-05
  1.8093E+07  3.6095E-05
  1.8302E+07  3.4844E-05
  1.8514E+07  3.3636E-05
  1.8728E+07  3.2468E-05
  1.8945E+07  3.1340E-05
  1.9165E+07  3.0251E-05
  1.9387E+07  2.9198E-05
  1.9611E+07  2.8182E-05
  1.9838E+07  2.7199E-05
  2.0068E+07  2.6251E-05
  2.0300E+07  2.5335E-05
  2.0535E+07  2.4450E-05
  2.0773E+07  2.3595E-05
  2.1014E+07  2.2770E-05
  2.1257E+07  2.1973E-05
  2.1503E+07  2.1203E-05
  2.1752E+07  2.0460E-05
  2.2004E+07  1.9742E-05
  2.2259E+07  1.9049E-05
  2.2516E+07  1.8380E-05
  2.2777E+07  1.7734E-05
  2.3041E+07  1.7110E-05
  2.3308E+07  1.6508E-05
  2.3578E+07  1.5926E-05
  2.3851E+07  1.5365E-05
  2.4127E+07  1.4823E-05
  2.4406E+07  1.4300E-05
  2.4689E+07  1.3795E-05
  2.4975E+07  1.3308E-05
  2.5264E+07  1.2837E-05
  2.5556E+07  1.2383E-05
  2.5852E+07  1.1945E-05
  2.6152E+07  1.1522E-05
  2.6455E+07  1.1113E-05
  2.6761E+07  1.0719E-05
  2.7071E+07  1.0339E-05
  2.7384E+07  9.9719E-06
  2.7701E+07  9.6177E-06
  2.8022E+07  9.2759E-06
  2.8347E+07  8.9461E-06
  2.8675E+07  8.6278E-06
  2.9007E+07  8.3207E-06
  2.9343E+07  8.0243E-06
  2.9682E+07  7.7384E-06
  3.0026E+07  7.4625E-06
  3.0374E+07  7.1963E-06
  3.0726E+07  6.9395E-06
  3.1081E+07  6.6917E-06
  3.1441E+07  6.4527E-06
  3.1805E+07  6.2221E-06
  3.2174E+07  5.9996E-06
  3.2546E+07  5.7849E-06
  3.2923E+07  5.5779E-06
  3.3304E+07  5.3782E-06
  3.3690E+07  5.1855E-06
  3.4080E+07  4.9996E-06
  3.4475E+07  4.8204E-06
  3.4874E+07  4.6474E-06
  3.5278E+07  4.4807E-06
  3.5686E+07  4.3198E-06
  3.6099E+07  4.1646E-06
  3.6517E+07  4.0150E-06
  3.6940E+07  3.8706E-06
  3.7368E+07  3.7314E-06
  3.7801E+07  3.5972E-06
  3.8238E+07  3.4677E-06
  3.8681E+07  3.3428E-06
  3.9129E+07  3.2224E-06
  3.9582E+07  3.1063E-06
  4.0041E+07  2.9943E-06
  4.0504E+07  2.8863E-06
  4.0973E+07  2.7822E-06
  4.1448E+07  2.6818E-06
  4.1928E+07  2.5849E-06
  4.2413E+07  2.4916E-06
  4.2904E+07  2.4015E-06
  4.3401E+07  2.3147E-06
  4.3904E+07  2.2311E-06
  4.4412E+07  2.1504E-06
  4.4926E+07  2.0726E-06
  4.5446E+07  1.9975E-06
  4.5973E+07  1.9252E-06
  4.6505E+07  1.8555E-06
  4.7044E+07  1.7883E-06
  4.7588E+07  1.7234E-06
  4.8139E+07  1.6610E-06
  4.8697E+07  1.6007E-06
  4.9261E+07  1.5427E-06
  4.9831E+07  1.4867E-06
  5.0408E+07  1.4327E-06
  5.0992E+07  1.3807E-06
  5.1582E+07  1.3305E-06
  5.2180E+07  1.2822E-06
  5.2784E+07  1.2356E-06
  5.3395E+07  1.1907E-06
  5.4013E+07  1.1474E-06
  5.4639E+07  1.1057E-06
  5.5271E+07  1.0654E-06
  5.5911E+07  1.0266E-06
  5.6559E+07  9.8927E-07
  5.7214E+07  9.5325E-07
  5.7876E+07  9.1853E-07
  5.8546E+07  8.8506E-07
  5.9224E+07  8.5281E-07
  5.9910E+07  8.2172E-07
  6.0604E+07  7.9176E-07
  6.1306E+07  7.6288E-07
  6.2015E+07  7.3505E-07
  6.2734E+07  7.0823E-07
  6.3460E+07  6.8238E-07
  6.4195E+07  6.5747E-07
  6.4938E+07  6.3346E-07
  6.5690E+07  6.1032E-07
  6.6451E+07  5.8803E-07
  6.7220E+07  5.6654E-07
  6.7999E+07  5.4583E-07
  6.8786E+07  5.2588E-07
  6.9582E+07  5.0665E-07
  7.0388E+07  4.8812E-07
  7.1203E+07  4.7026E-07
  7.2028E+07  4.5305E-07
  7.2862E+07  4.3647E-07
  7.3706E+07  4.2049E-07
  7.4559E+07  4.0510E-07
  7.5422E+07  3.9026E-07
  7.6296E+07  3.7597E-07
  7.7179E+07  3.6220E-07
  7.8073E+07  3.4892E-07
  7.8977E+07  3.3613E-07
  7.9891E+07  3.2381E-07
  8.0816E+07  3.1194E-07
  8.1752E+07  3.0050E-07
  8.2699E+07  2.8948E-07
  8.3657E+07  2.7886E-07
  8.4625E+07  2.6863E-07
  8.5605E+07  2.5877E-07
  8.6596E+07  2.4927E-07
  8.7599E+07  2.4012E-07
  8.8614E+07  2.3130E-07
  8.9640E+07  2.2281E-07
  9.0678E+07  2.1462E-07
  9.1728E+07  2.0674E-07
  9.2790E+07  1.9914E-07
  9.3864E+07  1.9183E-07
  9.4951E+07  1.8477E-07
  9.6051E+07  1.7798E-07
  9.7163E+07  1.7144E-07
  9.8288E+07  1.6513E-07
  9.9426E+07  1.5906E-07
